
ID,Name,Enhanced HP,Enhanced ATK,Enhanced DEF,Enhanced Accele,Enhanced Blast,Enhanced Charge
1001,環 いろは,3345,1241,1388,6%,6%,5%
											
Skill No.,Skill Name,Description,Type,Effect Verb,Effect Name,Effect Value,Effect Probability
1001101,リジェネレイト・アデプト[Ⅱ],HP自動回復[Ⅱ],Passive,CONDITION_GOOD,AUTO_HEAL,3.0%,100.0%
1001102,マギア・アデプト[Ⅱ],マギアダメージUP[Ⅱ],Passive,BUFF,MAGIA,7.5%,100.0%
1001103,MPブースト[Ⅱ],MP100以上時MP獲得量UP[Ⅱ],Passive,BUFF,MP_GAIN_OVER100,20.0%,N/A
1001104,ドッペル・アデプト[Ⅰ],ドッペルダメージUP[Ⅰ]&マギアダメージUP[Ⅰ],Passive,BUFF,DOPPEL,5.0%,N/A
,,,,BUFF,MAGIA,5.0%,100.0%
1001105,MPブースト[Ⅱ],MP100以上時MP獲得量UP[Ⅱ],Passive,BUFF,MP_GAIN_OVER100,20.0%,N/A
1001106,ドッペル・アデプト[Ⅰ],ドッペルダメージUP[Ⅰ]&マギアダメージUP[Ⅰ],Passive,BUFF,DOPPEL,5.0%,N/A
,,,,BUFF,MAGIA,5.0%,100.0%
1001107,リジェネレイト・アデプト[Ⅲ],HP自動回復[Ⅲ],Passive,CONDITION_GOOD,AUTO_HEAL,4.0%,100.0%
1001108,ブラスト・アデプト[Ⅳ],Blast ダメージUP[Ⅳ],Passive,BUFF,BLAST,25.0%,100.0%
1001109,ガード・アデプト[Ⅲ],防御力UP[Ⅲ],Passive,BUFF,DEFENSE,22.5%,100.0%
1001110,MPブースト[Ⅲ],MP100以上時MP獲得量UP[Ⅲ],Passive,BUFF,MP_GAIN_OVER100,22.0%,N/A
1001111,レジスト・アデプト[Ⅰ],状態異常耐性UP[Ⅰ],Passive,BUFF,RESIST,20.0%,100.0%
1001112,アンチ・ジャマ―,必ずスキル不可無効,Passive,IGNORE,BAN_SKILL,N/A,100.0%
1001113,レストア・ヘルス,状態異常解除(味単),Active CD10,REVOKE,BAD,N/A,N/A
											
											
ID,Name,Enhanced HP,Enhanced ATK,Enhanced DEF,Enhanced Accele,Enhanced Blast,Enhanced Charge
1002,七海 やちよ,2160,741,2774,4%,6%,8%
											
